year,log_rec_dev,rec_multiplier
1,0.240437074431,1.27180490226
2,0.28939843037,1.3356237756
3,0.304828987144,1.35639302253
4,0.292310478959,1.3395188455
5,0.260628634666,1.29774563819
6,0.230656640512,1.25942672908
7,0.193691515737,1.21372181112
8,0.170248570764,1.18559952007
9,0.137636134171,1.14755791718
10,0.123145951991,1.13104948783
11,0.112466410167,1.11903466809
12,0.11862074074,1.12594281306
13,0.118603682699,1.12592360685
14,0.120101539184,1.1276113425
15,0.113496513399,1.12018798324
16,0.109220358037,1.1154081124
17,0.0924525014285,1.09686104099
18,0.0747635261164,1.07762928957
19,0.0407156621367,1.04155590966
20,0,1
