year,log_rec_dev,rec_multiplier
1,0.280533695329,1.32383614901
2,0.305498328935,1.35730121697
3,0.303248144671,1.35425047279
4,0.289212794143,1.33537585846
5,0.273455995036,1.31449951344
6,0.2604470522,1.29751001173
7,0.253495250338,1.28852125943
8,0.254171585601,1.28939302657
9,0.261582427963,1.29898400977
10,0.273355742186,1.31436773772
11,0.285583335255,1.33053795148
12,0.290995807716,1.33775897567
13,0.28099240327,1.32444354246
14,0.246837294191,1.27997083714
15,0.191451474172,1.21100606664
16,0.122984461093,1.13086684838
17,0.0516110167087,1.05296607663
18,0.00280860563841,1.00281255347
19,-0.00754817016967,0.992480245726
20,0,1
