year,recruitment,total_biomass,ssb_proxy,depletion,Fbar,catch_obs,catch_hat,catch_log_residual,index_obs,index_hat,index_log_residual
2001,2435.199117,37766.744817,32154.050845,1.000000,0.045987,1100.000000,1162.072301,-0.054895,0.490000,0.426104,0.139723
2002,2435.199117,36559.682493,31063.160848,0.966073,0.045987,1135.000000,1123.963435,0.009771,0.478500,0.412485,0.148457
2003,2435.199117,35471.419642,30047.696625,0.934492,0.045987,1170.000000,1089.206972,0.071554,0.467500,0.400206,0.155419
2004,2435.199117,34507.025297,29119.051226,0.905611,0.045987,1210.000000,1057.999526,0.134240,0.455000,0.389326,0.155881
2005,2435.199117,33667.709321,28293.071896,0.879922,0.045987,1250.000000,1030.460786,0.193137,0.441500,0.379856,0.150385
2006,2435.199117,32950.098113,27578.730583,0.857706,0.045987,1280.000000,1006.594305,0.240287,0.432000,0.371760,0.150178
2007,2435.199117,32346.667160,26975.299630,0.838939,0.045987,1315.000000,986.277790,0.287654,0.422000,0.364951,0.145241
2008,2435.199117,31846.724584,26475.357055,0.823391,0.045987,1345.000000,969.274515,0.327601,0.410500,0.359311,0.133188
2009,2435.199117,31437.564077,26066.196548,0.810666,0.045987,1375.000000,955.257751,0.364228,0.400500,0.354694,0.121457
2010,2435.199117,31106.034762,25734.667232,0.800355,0.045987,1400.000000,943.856904,0.394253,0.392000,0.350954,0.110607
2011,2435.199117,30839.517768,25468.150239,0.792067,0.045987,1420.000000,934.691743,0.418195,0.385500,0.347947,0.102491
2012,2435.199117,30625.264293,25253.896764,0.785403,0.045987,1440.000000,927.323855,0.440096,0.379500,0.345530,0.093776
2013,2435.199117,30453.025552,25081.658023,0.780047,0.045987,1460.000000,921.400796,0.460297,0.373500,0.343586,0.083479
2014,2435.199117,30314.562529,24943.194999,0.775740,0.045987,1480.000000,916.639239,0.479083,0.368500,0.342024,0.074559
2015,2435.199117,30203.251863,24831.884334,0.772279,0.045987,1495.000000,912.811415,0.493352,0.364500,0.340768,0.067324
2016,2435.199117,30113.769026,24742.401496,0.769496,0.045987,1505.000000,909.734221,0.503396,0.361500,0.339759,0.062026
2017,2435.199117,30041.833617,24670.466087,0.767258,0.045987,1515.000000,907.260459,0.512741,0.358500,0.338947,0.056084
2018,2435.199117,29984.004616,24612.637087,0.765460,0.045987,1525.000000,905.271797,0.521514,0.356500,0.338295,0.052417
2019,2435.199117,29937.515782,24566.148253,0.764014,0.045987,1535.000000,903.673109,0.529818,0.354500,0.337770,0.048343
2020,2435.199117,29900.143328,24528.775798,0.762852,0.045987,1545.000000,902.387921,0.537735,0.353500,0.337349,0.046767
