field,value
objective,2112.84663698
joint_objective,2093.46280975
laplace_logdet,75.5251958018
laplace_constant,18.3787706641
grad_norm,0.00455558770604
iterations,153
converged,no
message,stopped before requested fixed-effect gradient tolerance; L-BFGS line search stalled; recovered with gradient restart. attempts=1
laplace,yes
random_effects,20
log_r0,4.23441072532
r0,69.0209944235
log_fbar,-1.67125467561
fbar,0.188011024745
log_q,-10.2456226962
q,3.55126106059e-05
logit_sel_a50,-9.22948978283
sel_a50,1.00088284289
log_sel_slope,0.125627856495
sel_slope,1.13386013108
