year,log_rec_dev,rec_multiplier
1,0.538959688383,1.71422260856
2,0.548463013265,1.73059107718
3,0.546455425234,1.72712024841
4,0.540846034403,1.71745927734
5,0.535022973434,1.70748746866
6,0.532527763669,1.7032322403
7,0.53595300247,1.70907622026
8,0.546910417866,1.7279062542
9,0.565814464147,1.76088137358
10,0.591435185828,1.80657933278
11,0.61982222416,1.85859759873
12,0.577501905992,1.78158230707
13,0.428124385652,1.53437692357
14,0.26817260644,1.30757281603
15,0.220970119001,1.24728615985
16,0.207014565564,1.2300004873
17,0.173913792467,1.18995297849
18,-0.026054929859,0.97428157099
19,-0.351731986014,0.703468636146
20,0,1
