year,recruitment,total_biomass,ssb_proxy,depletion,Fbar,catch_obs,catch_hat,catch_log_residual,index_obs,index_hat,index_log_residual
1,1220.427944,18927.236953,16114.371051,1.000000,0.017109,220.000000,279.860529,-0.240664,0.820000,0.861023,-0.048817
2,1220.427944,18636.557223,15848.245761,0.983485,0.017109,230.000000,275.424375,-0.180234,0.860000,0.847800,0.014288
3,1220.427944,18370.179036,15595.756061,0.967817,0.017109,245.000000,271.319798,-0.102040,0.890000,0.835682,0.062974
4,1220.427944,18130.773888,15362.559431,0.953345,0.017109,260.000000,267.613173,-0.028861,0.910000,0.824791,0.098315
5,1220.427944,17919.706702,15153.568825,0.940376,0.017109,275.000000,264.339005,0.039539,0.930000,0.815189,0.131764
6,1220.427944,17736.952359,14971.242940,0.929062,0.017109,290.000000,261.502078,0.103439,0.950000,0.806875,0.163293
7,1220.427944,17581.261877,14815.552458,0.919400,0.017109,305.000000,259.084706,0.163157,0.960000,0.799793,0.182580
8,1220.427944,17450.460772,14684.751352,0.911283,0.017109,315.000000,257.053635,0.203288,0.940000,0.793843,0.168995
9,1220.427944,17341.783873,14576.074453,0.904539,0.017109,320.000000,255.366073,0.225623,0.910000,0.788899,0.142807
10,1220.427944,17252.189551,14486.480131,0.898979,0.017109,330.000000,253.974823,0.261858,0.880000,0.784823,0.114464
11,1220.427944,17178.623548,14412.914129,0.894414,0.017109,335.000000,252.832466,0.281403,0.840000,0.781476,0.072217
12,1220.427944,17118.218417,14352.508998,0.890665,0.017109,340.000000,251.894475,0.299935,0.810000,0.778728,0.039372
13,1220.427944,17068.619694,14302.910275,0.887587,0.017109,330.000000,251.124290,0.273145,0.800000,0.776472,0.029851
14,1220.427944,17027.894125,14262.184706,0.885060,0.017109,320.000000,250.491890,0.244894,0.820000,0.774620,0.056932
15,1220.427944,16994.454313,14228.744893,0.882985,0.017109,310.000000,249.972626,0.215221,0.850000,0.773098,0.094830
16,1220.427944,16966.996844,14201.287424,0.881281,0.017109,300.000000,249.546258,0.184138,0.890000,0.771849,0.142432
17,1220.427944,16944.451484,14178.742064,0.879882,0.017109,295.000000,249.196166,0.168735,0.930000,0.770824,0.187725
18,1220.427944,16925.939463,14160.230043,0.878733,0.017109,285.000000,248.908705,0.135403,0.970000,0.769981,0.230930
19,1220.427944,16910.739220,14145.029801,0.877790,0.017109,275.000000,248.672671,0.100634,1.010000,0.769290,0.272238
20,1220.427944,16898.258284,14132.548864,0.877015,0.017109,265.000000,248.478863,0.064372,1.040000,0.768722,0.302246
