metric,value,note
n,20,number of fitted years
catch_rmse_log,0.193179458516,root mean squared log catch residual
index_rmse_log,0.14997472508,root mean squared log index residual
catch_mean_log_residual,0.120649226527,mean log observed minus predicted catch
index_mean_log_residual,0.122971765957,mean log observed minus predicted index
max_abs_catch_log_residual,0.29993536588,maximum absolute log catch residual
max_abs_index_log_residual,0.302246298095,maximum absolute log index residual
