year,log_rec_dev,rec_multiplier
1,0.2348622693682,1.26473456404594
2,0.284494453169457,1.32908994104284
3,0.300778102257781,1.35090954449924
4,0.289029848862935,1.33513158009328
5,0.257891245690011,1.29419806135324
6,0.228203979203454,1.25634156684957
7,0.191375241985955,1.21091375252099
8,0.167955317496823,1.18288375525981
9,0.135355896316981,1.14494419327088
10,0.120849618609441,1.12845520094464
11,0.110190168259342,1.11649037130227
12,0.116387444548817,1.12343105506144
13,0.116503249971669,1.12356116200322
14,0.118215387326659,1.1254865007912
15,0.111910704053752,1.11841298644001
16,0.107979411006978,1.11402480850134
17,0.0915933727955618,1.09591910094548
18,0.0742796109234178,1.07710793453897
19,0.0405511615397206,1.04138458717855
20,0,1
