metric,value,note
fit_value,1731.58521917743,reported profiled Laplace objective from optimizer
direct_joint_objective,1709.41466903005,objective evaluated directly at fit.par plus fit.u_hat
direct_minus_fit_value,-22.1705501473753,direct joint objective minus fit.value; expected to differ because fit.value includes Laplace terms
fit_par_size,35,number of fixed effects in returned fit
fit_u_hat_size,20,number of random effects in returned fit
full_parameter_vector_size,55,fixed plus random effects passed to objective
