parameter_index,parameter_name,base_log_slope,base_slope,base_objective,step_index,multiplier,log_sel_slope_longline,sel_slope_longline,objective,delta_objective,status,message
5,log_sel_slope_longline,0.989628926121295,2.69023601079806,1936.92578397537,0,0.4,0.0733381942471396,1.07609440431922,2150.59380813604,213.66802416067,ok,"ok"
5,log_sel_slope_longline,0.989628926121295,2.69023601079806,1936.92578397537,1,0.5,0.296481745561349,1.34511800539903,2048.93855610745,112.012772132081,ok,"ok"
5,log_sel_slope_longline,0.989628926121295,2.69023601079806,1936.92578397537,2,0.6,0.478803302355304,1.61414160647884,1993.50552260563,56.5797386302609,ok,"ok"
5,log_sel_slope_longline,0.989628926121295,2.69023601079806,1936.92578397537,3,0.7,0.632953982182562,1.88316520755864,1962.99674506589,26.0709610905194,ok,"ok"
5,log_sel_slope_longline,0.989628926121295,2.69023601079806,1936.92578397537,4,0.75,0.701946853669514,2.01767700809854,1953.49770943957,16.5719254641967,ok,"ok"
5,log_sel_slope_longline,0.989628926121295,2.69023601079806,1936.92578397537,5,0.8,0.766485374807085,2.15218880863845,1946.69501799469,9.76923401931595,ok,"ok"
5,log_sel_slope_longline,0.989628926121295,2.69023601079806,1936.92578397537,6,0.85,0.82710999662352,2.28670060917835,1942.01554443827,5.08976046289627,ok,"ok"
5,log_sel_slope_longline,0.989628926121295,2.69023601079806,1936.92578397537,7,0.9,0.884268410463468,2.42121240971825,1939.0313875126,2.10560353723326,ok,"ok"
5,log_sel_slope_longline,0.989628926121295,2.69023601079806,1936.92578397537,8,0.95,0.938335631733744,2.55572421025816,1937.41801822591,0.492234250534466,ok,"ok"
5,log_sel_slope_longline,0.989628926121295,2.69023601079806,1936.92578397537,9,0.975,0.964311118137005,2.62298011052811,1937.04502170901,0.119237733634918,ok,"ok"
5,log_sel_slope_longline,0.989628926121295,2.69023601079806,1936.92578397537,10,1,0.989628926121295,2.69023601079806,1936.92578397537,0,ok,"ok"
5,log_sel_slope_longline,0.989628926121295,2.69023601079806,1936.92578397537,11,1.025,1.01432153871167,2.75749191106801,1937.03757360832,0.111789632945374,ok,"ok"
5,log_sel_slope_longline,0.989628926121295,2.69023601079806,1936.92578397537,12,1.05,1.03841909029073,2.82474781133796,1937.36021217247,0.434428197098896,ok,"ok"
5,log_sel_slope_longline,0.989628926121295,2.69023601079806,1936.92578397537,13,1.1,1.08493910592562,2.95925961187787,1938.56815664836,1.64237267299268,ok,"ok"
5,log_sel_slope_longline,0.989628926121295,2.69023601079806,1936.92578397537,14,1.15,1.12939086849645,3.09377141241777,1940.4278747756,3.50209080022637,ok,"ok"
5,log_sel_slope_longline,0.989628926121295,2.69023601079806,1936.92578397537,15,1.2,1.17195048291525,3.22828321295767,1942.84179236126,5.91600838589329,ok,"ok"
5,log_sel_slope_longline,0.989628926121295,2.69023601079806,1936.92578397537,16,1.3,1.25199319058879,3.49730681403748,1949.03191370904,12.1061297336678,ok,"ok"
5,log_sel_slope_longline,0.989628926121295,2.69023601079806,1936.92578397537,17,1.4,1.32610116274251,3.76633041511728,1956.66779104983,19.7420070744624,ok,"ok"
5,log_sel_slope_longline,0.989628926121295,2.69023601079806,1936.92578397537,18,1.6,1.45963255536703,4.3043776172769,1975.10524009199,38.1794561166182,ok,"ok"
5,log_sel_slope_longline,0.989628926121295,2.69023601079806,1936.92578397537,19,1.8,1.57741559102341,4.84242481943651,1996.60355489147,59.6777709161004,ok,"ok"
5,log_sel_slope_longline,0.989628926121295,2.69023601079806,1936.92578397537,20,2,1.68277610668124,5.38047202159612,2020.35708251215,83.4312985367781,ok,"ok"
