index,name,base_value,step,f_base,f_minus,f_plus,delta_minus,delta_plus,central_gradient,central_curvature,abs_sensitivity,status,message
24,init_log_number_dev_age_10,-0.410007082515439,0.0282001416503088,1731.58521917743,1731.58689408818,1731.58690628884,0.00167491075399084,0.00168711140804589,0.000216322566856974,4.22763994141282,0.00168711140804589,ok,"ok"
23,init_log_number_dev_age_9,-0.428203581307666,0.0285640716261533,1731.58521917743,1731.5883405024,1731.58848208429,0.00312132497515449,0.00326290685916319,0.00247832112070236,7.82471309726323,0.00326290685916319,ok,"ok"
12,logit_sel_longline_age_8,3.77730068638864,0.0955460137277727,1731.58521917743,1731.58960945688,1731.58936651487,0.0043902794548103,0.00414733744196383,-0.00127133515762706,0.935215116310123,0.0043902794548103,ok,"ok"
13,logit_sel_longline_age_9,0.825420740834544,0.0365084148166909,1731.58521917743,1731.59160282743,1731.59150775448,0.00638364999804253,0.00628857704691654,-0.00130206901071092,9.50751441576097,0.00638364999804253,ok,"ok"
26,logit_sel_purse_seine_age_2,2.0811026178211,0.0616220523564221,1731.58521917743,1731.59165994433,1731.59153314405,0.00644076689764006,0.00631396662083716,-0.00102885470342243,3.35891545120545,0.00644076689764006,ok,"ok"
33,logit_sel_purse_seine_age_9,-4.37059210002325,0.107411842000465,1731.58521917743,1731.59201037202,1731.59209058031,0.00679119458641253,0.00687140288505361,0.000373368043724337,1.18421060119585,0.00687140288505361,ok,"ok"
32,logit_sel_purse_seine_age_8,-3.90898491442087,0.0981796982884173,1731.58521917743,1731.59219920412,1731.59198918819,0.00698002668968911,0.00677001076019224,-0.00106954866004947,1.42646294555672,0.00698002668968911,ok,"ok"
22,init_log_number_dev_age_8,-0.319183667208514,0.0263836733441703,1731.58521917743,1731.59267208758,1731.5927441384,0.00745291015391558,0.00752496097197763,0.0013654432633804,21.5168933265947,0.00752496097197763,ok,"ok"
31,logit_sel_purse_seine_age_7,-3.46666298002386,0.0893332596004773,1731.58521917743,1731.5936510231,1731.59286507121,0.0084318456733854,0.00764589378263736,-0.00439898809392509,2.01464543836837,0.0084318456733854,ok,"ok"
34,logit_sel_purse_seine_age_10,-5.4621478441622,0.129242956883244,1731.58521917743,1731.5947678604,1731.59523892241,0.00954868297253597,0.010019744975807,0.00182238945405985,1.1714996592318,0.010019744975807,ok,"ok"
30,logit_sel_purse_seine_age_6,-3.24496546695221,0.0848993093390441,1731.58521917743,1731.59583167406,1731.59592910852,0.0106124966316656,0.0107099310887406,0.000573823614311709,2.95820547422454,0.0107099310887406,ok,"ok"
21,init_log_number_dev_age_7,-0.265085647141974,0.0253017129428395,1731.58521917743,1731.59647439211,1731.59664963485,0.0112552146777034,0.0114304574187827,0.00346306081084656,35.4365800593728,0.0114304574187827,ok,"ok"
