metric,value,note
fit_value,1749.38314001447,reported profiled Laplace objective from optimizer
direct_joint_objective,1728.10626863926,objective evaluated directly at fit.par plus fit.u_hat
direct_minus_fit_value,-21.2768713752173,direct joint objective minus fit.value; expected to differ because fit.value includes Laplace terms
fit_par_size,33,number of fixed effects in returned fit
fit_u_hat_size,20,number of random effects in returned fit
full_parameter_vector_size,53,fixed plus random effects passed to objective
