year,recruitment,total_biomass,ssb_proxy,depletion,Fbar,catch_obs,catch_hat,catch_log_residual,index_obs,index_hat,index_log_residual
2001,3135.673656,48630.186320,41403.025098,1.000000,0.036518,1100.000000,1267.512280,-0.141746,0.490000,0.418708,0.157231
2002,3135.673656,47316.073894,40211.080780,0.971211,0.036518,1135.000000,1232.246317,-0.082206,0.478500,0.407394,0.160876
2003,3135.673656,46127.263289,39098.578019,0.944341,0.036518,1170.000000,1199.937474,-0.025266,0.467500,0.397158,0.163065
2004,3135.673656,45070.176655,38078.915535,0.919713,0.036518,1210.000000,1170.805119,0.032929,0.455000,0.388056,0.159147
2005,3135.673656,44146.914670,37169.604982,0.897751,0.036518,1250.000000,1144.996239,0.087742,0.441500,0.380107,0.149725
2006,3135.673656,43354.511426,36380.616571,0.878695,0.036518,1280.000000,1122.545986,0.131261,0.432000,0.373284,0.146085
2007,3135.673656,42685.408709,35711.513855,0.862534,0.036518,1315.000000,1103.365874,0.175471,0.422000,0.367523,0.138218
2008,3135.673656,42128.520020,35154.625165,0.849083,0.036518,1345.000000,1087.253522,0.212739,0.410500,0.362729,0.123721
2009,3135.673656,41670.481506,34696.586652,0.838021,0.036518,1375.000000,1073.916390,0.247142,0.400500,0.358785,0.109991
2010,3135.673656,41297.337709,34323.442854,0.829008,0.036518,1400.000000,1063.016035,0.275362,0.392000,0.355572,0.097534
2011,3135.673656,40995.605715,34021.710860,0.821720,0.036518,1420.000000,1054.201776,0.297873,0.385500,0.352974,0.088147
2012,3135.673656,40751.618820,33777.723965,0.815827,0.036518,1440.000000,1047.074380,0.318643,0.379500,0.350873,0.078429
2013,3135.673656,40554.325838,33580.430984,0.811062,0.036518,1460.000000,1041.311015,0.337956,0.373500,0.349175,0.067346
2014,3135.673656,40394.790546,33420.895692,0.807209,0.036518,1480.000000,1036.650637,0.356047,0.368500,0.347801,0.057810
2015,3135.673656,40265.786923,33291.892068,0.804093,0.036518,1495.000000,1032.882156,0.369773,0.364500,0.346690,0.050095
2016,3135.673656,40161.471855,33187.577001,0.801574,0.036518,1505.000000,1029.834882,0.379394,0.361500,0.345792,0.044424
2017,3135.673656,40077.120477,33103.225623,0.799536,0.036518,1515.000000,1027.370792,0.388413,0.358500,0.345066,0.038193
2018,3135.673656,40008.912163,33035.017308,0.797889,0.036518,1525.000000,1025.378276,0.396933,0.356500,0.344479,0.034302
2019,3135.673656,39953.757472,32979.862618,0.796557,0.036518,1535.000000,1023.767086,0.405041,0.354500,0.344004,0.030056
2020,3135.673656,39909.158219,32935.263364,0.795480,0.036518,1545.000000,1022.464243,0.412808,0.353500,0.343620,0.028348
