year,rec_dev
2001,0.00843585
2002,0.0170783
2003,0.0228101
2004,0.0264556
2005,0.0294075
2006,0.0317752
2007,0.0332809
2008,0.0338761
2009,0.0344355
2010,0.0355971
2011,0.037809
2012,0.0341849
2013,0.023106
2014,0.0250238
2015,0.0306571
2016,0.0333957
2017,0.0326683
2018,0.0013142
2019,-0.0079849
2020,0
