year,rec_dev
2001,0.125786
2002,0.118518
2003,0.11462
2004,0.113497
2005,0.115435
2006,0.12088
2007,0.130558
2008,0.145816
2009,0.168044
2010,0.198236
2011,0.23602
2012,0.214511
2013,0.102188
2014,-0.00748755
2015,-0.0232786
2016,-0.0210473
2017,-0.0338719
2018,-0.203811
2019,-0.478843
2020,0
