age,longline_selectivity,purse_seine_selectivity
1,6.10421e-07,1
2,8.82034e-06,1
3,0.000127436,0.85
4,0.00183827,0.55
5,0.0259216,0.25
6,0.277732,0.1
7,0.847476,0.04
8,0.987698,0.02
9,0.999139,0.01
10,0.99994,0.005
