year,rec_dev
2001,0.0389041
2002,0.041645
2003,0.042779
2004,0.0435579
2005,0.045233
2006,0.0481486
2007,0.0529498
2008,0.0606963
2009,0.0723509
2010,0.0891002
2011,0.11658
2012,0.105651
2013,0.0389614
2014,0.012426
2015,0.0173958
2016,0.0137788
2017,0.0116922
2018,-0.00634171
2019,-0.0114373
2020,0
