year,rec_dev,recruitment_multiplier
2001,0.0375928756804,1.03830842621
2002,0.0424929377649,1.04340868755
2003,0.0437190232757,1.04468878042
2004,0.0447543025391,1.04577088509
2005,0.0457664785006,1.04682992512
2006,0.0462207239294,1.04730555084
2007,0.0460736124038,1.04715149146
2008,0.0445911551647,1.04560028423
2009,0.0431697483003,1.04411511658
2010,0.0432448277074,1.04419351106
2011,0.0471272730459,1.04825541525
2012,0.0423129666621,1.04322092103
2013,0.00807368604009,1.00810636613
2014,-0.00448808617518,0.995521970233
2015,-0.00599976802763,0.994018194639
2016,-0.00608814731881,0.993930347897
2017,-0.0100931156644,0.989957648893
2018,-0.0144888344164,0.985615623645
2019,-0.0176127361903,0.98254146144
2020,0,1
