metric,value,note
fit_value,2113.43398299532,reported profiled Laplace objective from optimizer
direct_joint_objective,2094.12388300595,objective evaluated directly at fit.par plus fit.u_hat
direct_minus_fit_value,-19.31009998937,direct joint objective minus fit.value; expected to differ because fit.value includes Laplace terms
fit_par_size,5,number of fixed effects in returned fit
fit_u_hat_size,20,number of random effects in returned fit
full_parameter_vector_size,25,fixed plus random effects passed to objective
