age,longline_selectivity,purse_seine_selectivity
1,0.0664369,1
2,0.123098,1
3,0.216859,0.85
4,0.353264,0.55
5,0.518646,0.25
6,0.680042,0.1
7,0.807416,0.04
8,0.892127,0.02
9,0.942242,0.01
10,0.969861,0.005
