year,rec_dev
2001,0.0375929
2002,0.0424929
2003,0.043719
2004,0.0447543
2005,0.0457665
2006,0.0462207
2007,0.0460736
2008,0.0445912
2009,0.0431697
2010,0.0432448
2011,0.0471273
2012,0.042313
2013,0.00807369
2014,-0.00448809
2015,-0.00599977
2016,-0.00608815
2017,-0.0100931
2018,-0.0144888
2019,-0.0176127
2020,0
