field,value
objective,1731.58521918
grad_norm,0.0560561824702
iterations,240
converged,no
message,stopped before requested fixed-effect gradient tolerance; L-BFGS line search stalled; recovered with gradient restart. attempts=2
random_effects,20
log_r0,6.44647845071
r0,630.47811907
log_m_fixed,-0.798507696218
m_fixed,0.45
log_m_young_offset,-0.272718487466
m_young,0.342588183727
log_m_old_offset,-0.386627820617
m_old,0.305704748552
log_fbar,-2.68026175726
fbar,0.0685452095999
log_q_longline_fixed,-9.90348755254
q_longline_fixed,5e-05
log_q_purse_seine,-10.713327033
q_purse_seine,2.22464740184e-05
logit_sel_a50_longline,-0.272718487466
sel_a50_longline,4.89015849195
log_sel_slope_longline,-0.386627820617
sel_slope_longline,0.67934388567
init_log_number_dev_age_1,-8.78099483628
init_number_multiplier_age_1,1.03461211971
init_log_number_dev_age_2,-8.01954525182
init_number_multiplier_age_2,1.00378320459
init_log_number_dev_age_3,-7.24040183477
init_number_multiplier_age_3,0.932808765434
init_log_number_dev_age_4,-6.01405341714
init_number_multiplier_age_4,0.861801078595
init_log_number_dev_age_5,-3.63606931799
init_number_multiplier_age_5,0.822851792584
init_log_number_dev_age_6,-1.387759625
init_number_multiplier_age_6,0.79919353294
init_log_number_dev_age_7,0.983204420517
init_number_multiplier_age_7,0.767140243793
init_log_number_dev_age_8,3.77730068639
init_number_multiplier_age_8,0.726742058363
init_log_number_dev_age_9,0.825420740835
init_number_multiplier_age_9,0.651678731685
init_log_number_dev_age_10,-2.92496978797
init_number_multiplier_age_10,0.66364554984
logit_sel_purse_seine_age_1,0.0340265929141
sel_purse_seine_age_1,0.508505827567
logit_sel_purse_seine_age_2,0.00377606626847
sel_purse_seine_age_2,0.500944015445
logit_sel_purse_seine_age_3,-0.0695550665239
sel_purse_seine_age_3,0.482618240416
logit_sel_purse_seine_age_4,-0.148730802241
sel_purse_seine_age_4,0.462885690906
logit_sel_purse_seine_age_5,-0.194979176436
sel_purse_seine_age_5,0.451409048137
logit_sel_purse_seine_age_6,-0.224152143598
sel_purse_seine_age_6,0.444195423287
logit_sel_purse_seine_age_7,-0.265085647142
sel_purse_seine_age_7,0.434113956992
logit_sel_purse_seine_age_8,-0.319183667209
sel_purse_seine_age_8,0.420874707281
logit_sel_purse_seine_age_9,-0.428203581308
sel_purse_seine_age_9,0.394555381251
logit_sel_purse_seine_age_10,-0.410007082515
sel_purse_seine_age_10,0.398910422899
